,,,,,,,,,,,,,,,,
name,description,open_time,close_time,entry_price,latitude,longitude,visit_count,provinces,city,subdistrict,street_name,zip_code,categories,facilities,url_image,url_video
Pantai Senggigi,"Pantai Senggigi adalah salah satu destinasi wisata paling populer di Pulau Lombok, Indonesia. Pantai ini menawarkan kombinasi sempurna antara keindahan alam, suasana tenang, dan fasilitas wisata yang lengkap.",00:00,23:59,15000,-8.478616865602719,116.03744073093863,4698,Nusa Tenggara Barat,Lombok Barat,Batu Layar,"Pantai Senggigi, Desa Batu Layar, Kecamatan Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Barat, Indonesia.",83355,alam,"penginapan, tempat sampah, area makanan, toilet, toko oleh-oleh",,
pantai seger,Pantai Seger mempesona dengan panorama alam yang menakjubkan. Pantai ini dikelilingi oleh bukit-bukit hijau yang menambah pesona alaminya. Ombak yang tenang dan angin sepoi-sepoi membuat suasana di pantai ini sangat menyenangkan bagi pengunjung.,00:00,23:59,5000,-8.90688531607307,116.29773677433441,6800,Nusa Tenggara Barat,Lombok Tengah,Pujut,"Pantai Seger, Desa Kuta, Kecamatan Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Barat, Indonesia.",83573,alam,"area parkir, area makanan, pusat informasi, toko oleh-oleh",,
Pulau Moyo,"Pulau Moyo adalah pulau yang belum terjamah sepenuhnya, dengan hutan tropis yang lebat, air terjun yang indah, dan pantai berpasir putih yang menakjubkan.",00:00,23:59,50000,-8.205711307455351,117.52751783919564,1000,Nusa Tenggara Barat,Sumbawa,Denpasar Selatan,"Kabupaten Sumbawa, Provinsi Nusa Tenggara Barat, Indonesia.",-,alam,"pusat informasi, toilet, toko oleh-oleh",,
Air terjun tetebatu,Air Terjun Tetebatu memiliki ketinggian sekitar 40 meter dan dikelilingi oleh pepohonan hijau yang rindang.,00:00,23:59,20000,-8.539830260852154,116.42240445895928,2000,Nusa Tenggara Barat,Lombok Timur,Sikur,"ir Terjun Tetebatu, Desa Tetebatu, Kecamatan Sikur, Kabupaten Lombok Timur, Nusa Tenggara Barat, Indonesia.",83662,alam,"pusat informasi, area makanan, toilet, toko oleh-oleh",,
Pantai Nipah,Pantai Nipah mempesona dengan pemandangan alam yang menakjubkan. Pantai ini dikelilingi oleh bukit-bukit hijau dan pepohonan kelapa yang menambah pesona alaminya.,00:00,23:59,5000,-8.433076337609668,116.04646456927674,4500,Nusa Tenggara Barat,Lombok Barat,Batu Layar,"Pantai Nipah, Desa Batu Layar, Kecamatan Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Barat, Indonesia.",83352,alam,"penginapan, area makanan, toko oleh-oleh",,
,,,,,,,,,,,,,,,,
Pulau Komodo,"Pulau ini terkenal dengan spesies kadal purba yang langka, Komodo. Di sini, wisatawan dapat melakukan trekking, pusat informasi, dan diving.",08:00 ,17:00,200000,-8.526764434585477,119.4812187565926,1000,Nusa Tenggara Timur,Manggarai,Manggarai Barat,"Pulau Komodo, Komodo, Labuan Bajo, Nusa Tenggara Timur",86763,alam,"Area parkir, toilet, penginapan, toko oleh-oleh",,
Danau Kelimutu,Danau vulkanik dengan air yang berubah warna-warni tergantung pada musim. Pemandangan matahari terbit di sini sangat populer.,05:00,17:00,25000,-8.765177840029656,121.82081857718961,1500,Nusa Tenggara Timur,Ende,Kelimutu,"Desa Pemo, Kecamatan Kelimutu, Kabupaten Ende",86318,alam,"Area parkir, area makanan, toilet",,
taman nasional kepulauan alor,aman nasional yang mencakup beberapa pulau kecil dengan keindahan bawah laut yang memikat.,00:00,23:59,50000,-8.273905642572682,124.85643808408875,3993,Nusa Tenggara Timur,Alor,Alor Timur Laut,"Pido, Kec. Alor Tim. Laut, Kabupaten Alor, Nusa Tenggara Tim.",85875,alam,"penginapan, toko oleh-oleh, area pusat informasi, area parkir, toilet",,
Desa Adat Wae Rebo,"Desa tradisional dengan rumah adat yang unik, dikelilingi oleh pegunungan hijau.",00:00,23:59,20000,-8.768922338329329,120.28502851345408,2000,Nusa Tenggara Timur,Manggarai Barat,Satar Mese,"Kampung Satar Lenda, Kecamatan Satar Mese, Kabupaten Manggarai Barat, Flores, Nusa Tenggara Timur",86561,alam,"Penginapan, toilet, pusat informasi, toko oleh-oleh",,
Pulau Rote,"Pulau dengan pantai berpasir putih yang indah, populer untuk surfing dan pusat informasi.",00:00,23:59,3000,-10.732925991717261,123.07889732131586,4000,Nusa Tenggara Timur,Rote Ndao ,Rote Barat Laut,"Pulau Rote, Rote Barat Daya, Rote Ndao, Nusa Tenggara Timur",85981,alam,"Penginapan, area makanan, pusat informasi, toilet",,
Pulau Sawu,"Pulau kecil yang tenang dengan pantai yang indah, ideal untuk bersantai dan menikmati alam.",00:00,23:59,0,"-10.50877222861996, 121.87940224593953",121.87940224593953,521,Nusa Tenggara Timur,Sabu Raijua,Sabu Tengah,"Pulau Savu, Timur Tengah Utara, Sabu Raijua, Nusa Tenggara Timur",86463,alam,"Penginapan, area makanan, toko oleh-oleh, toilet, area parkir",,
Air Terjun Cunca Wulang,Air terjun spektakuler yang tersembunyi di dalam hutan tropis. Terkenal dengan airnya yang jernih dan kolam renang alaminya yang menyegarkan.,06:00,17:00,20000,-8.544978683140378,119.99506056318546,3000,Nusa Tenggara Timur,Manggarai Barat,Boleng,"Pota Wangka, Kec. Boleng, Kabupaten Manggarai Barat, Nusa Tenggara Tim.",86757,alam,"Area parkir, area makanan, pusat informasi, toilet",,
Pulau Sumba,"Pulau dengan pantai yang luas, budaya yang kaya, dan pemandangan alam yang menakjubkan. Populer untuk surfing, pusat informasi, dan trekking",00:00,23:59,0,-9.699134459546647,120.03832549360534,8000,Nusa Tenggara Timur,Sumba Barat Daya,Sumba Barat Daya,"Pulau Sumba, Sumba Barat Daya, Southwest Sumba, Nusa Tenggara Timur",87119,alam,"Penginapan, area makanan, toko oleh-oleh, pusat informasi",,
Pantai Pink,Pantai berpasir merah unik yang menjadi ikonik karena warna pasirnya yang langka.,07:00,18:00,10000,-8.550791644740164,119.71992754941539,8000,Nusa Tenggara Timur,Lombok Timur,Jerowaru,"Sekaroh, Jerowaru, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83672",83126,alam,"Area parkir, area makanan, toilet, pusat informasi",,
Bukit Wairinding,"Bukit Wairinding terkenal dengan pemandangan savana yang luas dan indah. Saat musim penghujan, bukit ini ditutupi oleh rumput hijau yang segar, sementara saat musim kemarau, pemandangan berubah menjadi padang rumput cokelat yang eksotis",00:00,23:59,10000,-9.679421206361013,120.10208874051571,36500,Nusa Tenggara Timur,Sumba Timur,Pandawai,"Makamenggit, Nggaha Oriangu, Kabupaten Sumba Timur, Nusa Tenggara Tim.",87111,alam,"Area parkir, area makanan, toko oleh-oleh",,
,,,,,,,,,,,,,,,,
Taman Nasional Danau Sentarum,Taman Nasional Danau Sentarum adalah kawasan konservasi yang terdiri dari danau musiman yang menjadi habitat bagi berbagai jenis flora dan fauna endemik.,08:00,16:30,25000,0.8333421387646698,112.18380129883008,100,Kalimantan Barat,Kapuas Hulu,Nanga kantuk,"Nanga Leboyan, Danau Sentarum, Kabupaten Kapuas Hulu, Kalimantan Barat 78765",78765,alam,"toko oleh-oleh, penginapan, toilet",,
Pantai Kijing,Pantai dengan pasir putih yang indah dan air laut yang jernih. Tempat yang sempurna untuk berenang dan bersantai.,00:00,23:59,10000,0.5078778187907976,108.91465235545347,7330,Kalimantan Barat,Mempawah,Sungai Kunyit,"Desa, Sungai Kunyit Laut, Sungai Kunyit, Kab. Mempawah, Kalimantan Barat 78371",78371,alam,"Area parkir, area makanan, toilet",,
Taman Nasional Gunung Palung,Taman nasional dengan hutan hujan tropis yang kaya akan biodiversitas. Populer untuk trekking dan penelitian flora dan fauna.,07:30,16:30,1000,-0.8187577583622941,110.13156937001713,3500,Kalimantan Barat,Ketapang,deltapawan,"Kalinilam, Deltapawan, Jl. Gajah Mada, Kabupaten Ketapang, Kalimantan Barat 78857",78857,alam,"Area parkir, toilet, Pusat Informasi.",,
Bukit Kelam,"Bukit batu granit yang megah, salah satu yang terbesar di dunia. Tempat yang cocok untuk hiking dan menikmati pemandangan dari puncak.",07:00,17:00,0,0.08079488250917385,111.67496858142205,8779,Kalimantan Barat,Sintang,kelam permai,"Merpak, Kec. Kelam Permai, Kabupaten Sintang, Kalimantan Barat",78115,alam,"Area parkir, toilet, area makanan, pusat informasu",,
Taman Nasional Betang Karihun,"Bentang Karihun adalah kawasan hutan tropis yang indah di Taman Nasional Betung Kerihun. Tempat ini dikenal dengan pemandangan alam yang spektakuler, keanekaragaman hayati yang kaya, dan merupakan salah satu destinasi favorit bagi para pencinta alam dan petualang.",08:00,16:00,1000,1.2017867105779274,113.18888812709157,7570,Kalimantan Barat,Kapuas Hulu,putussibau utara,"Jl. Piere Tendean, Sibau Hulu, Kec. Putussibau Utara, Kabupaten Kapuas Hulu, Kalimantan Barat 78716",78716,alam,"Area parkir, toilet, penginapan, Pusat Informasi",,
Pantai Tanjung Bajau,"Pantai Tanjung Bajau adalah salah satu destinasi wisata pantai yang populer di Kalimantan Barat. Pantai ini menawarkan pemandangan laut yang indah, pasir putih yang lembut, dan air laut yang jernih.",00:00,23:59,35000,0.8590786677271923,108.89214521101547,109500,Kalimantan Barat,Singkawang,Singkawang Selatan,"VV5R+HMP, Sedau, Kec. Singkawang Sel., Kota Singkawang, Kalimantan Barat 79163",79163,alam,"Area parkir, toilet, area makanan,wahana permainan, penginapan",,
Air terjun Pancur Aji,Air Terjun Pancur Aji adalah air terjun yang terletak di hutan tropis yang lebat. Tempat ini menawarkan pemandangan alam yang memukau dengan air terjun yang tinggi dan kolam alami yang jernih.,09:00,18:00,5000,0.10060461736046256,110.56943380529106,64750,Kalimantan Barat,Sanggau,kapuas,"3HX8+WXW, Jl. Sanggau Permai, Beringin, Kec. Kapuas, Kabupaten Sanggau, Kalimantan Barat 78516",78516,alam,"Area parkir, toilet, area makanan,Penginapan",,
Hutan Wisata Baning,Hutan Wisata Baning adalah hutan kota yang terletak di pusat Kota Sintang. Hutan ini menawarkan pemandangan hutan tropis yang masih alami dengan jalur-jalur pejalan kaki yang terawat.,07:00,17:00,10000,0.07130509075842863,111.50903639199689,36500,Kalimantan Barat,Sintang,sintang,"3GC5+FGR, Sungai Ana, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78614",78614,alam,"Area parkir, toilet, Pusat Informasi",,
Air Terjun Banangar,"Air Terjun Bananggar, atau Air Terjun Mananggar, adalah sebuah patahan dari Sungai Landak sehingga terbentuk sebuah air terjun. Memiliki ketinggian 60 meter dan lebar 60 meter. Terdapat kolam alami yang besar persis di bawah air terjun.",00:00,23:59,5000,0.854007857322957,110.15881068776764,6500,Kalimantan Barat,Landak,air besar,"V535+H7C, Merayuh, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365",79365,alam,"Area parkir, toilet, area makanan, Penginapan",,
Pulau Lemukutan,"Pulau Lemukutan adalah pulau kecil yang terletak di perairan Kalimantan Barat, tepatnya di Kabupaten Sambas. Pulau ini terkenal karena keindahan pantainya yang eksotis, air laut yang jernih, serta pasir putihnya yang halus",00:00,23:59,209000,0.7447816405443916,108.71624822400351,12762,Kalimantan Barat,Bengkayang,sungai raya kepulauan,"Kecamatan Sungai Raya Kepulauan, Kabupaten Bengkayang, Provinsi Kalimantan Barat",79271,alam,"penginapan, toilet, tempat ibadah, area makanan",,
,,,,,,,,,,,,,,,,
Taman Nasional Tanjung Puting,Taman Nasional Tanjung Puting terkenal dengan habitat orangutannya yang liar. Anda dapat mengikuti tur menyusuri sungai untuk melihat orangutan dan satwa liar lainnya.,07:00,17:00,5000,-3.0004027210166737,111.98652698771481,8779,Kalimantan Tengah,kotawaringin,kumai,"Tlk. Pulai, Kec. Kumai, Kabupaten Kotawaringin Barat, Kalimantan Tengah 74181",74181,alam,"Perahu,penginapan, toilet, area parkir, tempat makan",,
Museum Balanga,Museum Balanga merupakan museum yang menyimpan koleksi benda-benda bersejarah dari Kalimantan Tengah. Museum ini terletak di Kota Palangka Raya.,07:00,14:00,5000,-2.1951734879810805,113.90304504914356,1200,Kalimantan Tengah,Palangkaraya,Jekan Raya,"Jl. Tjilik Riwut No.Km. 2.5, Palangka, Kec. Jekan Raya, Kota Palangka Raya, Kalimantan Tengah 73112",73112,Sejarah,"area parkir, Tempat Ibadah,toilet, area makanan",,
Danau Tahai,"Di kawasan objek wisata Danau Tahai ini terdapat jembatan kayu yang mengelilingi kawasan danau dan juga menghubunggkan danau ke kawasan hutan, sehingga para wisatawan dapat berjalan-jalan ke tengah danau sambil menikmati pemandangan alam yang sangat mempesona.",00:00,23:59,0,-2.0273121158817244,113.78320148931277,5500,Kalimantan Tengah,Palangkaraya,Bukit Batu,"Tumbang Tahai, Kec. Bukit Batu, Kota Palangka Raya, Kalimantan Tengah",73912,alam,"penginapan, toilet, area parkir",,
Pantai Ujung Pandaran,Pantai ini terekenal akan pantai yang landai dan biota lautnya yang membentang puluhan kilometer dari Kabupaten Kotawaringin Timur ingga perbatasan Kabupaten seruyan.,00:00,23:59,5000,-3.168220112376939,113.00427564127921,8992,Kalimantan Tengah,Kotawaringin Timur,teluk sampit,"Ujung Pandaran, Teluk Sampit, Kabupaten Kotawaringin Timur, Kalimantan Tengah 74363",74363,alam,"toko oleh-oleh, toilet, area makanan, penginapan, area parkir",,
Sungai sekonyer,"Bertualang di hutan dan menepi dari modernitas memang terdengar menantang. Petualangan alam liar demikian bisa Anda lakukan saat menyusuri Sungai Sekonyer yang menjadi jalur menuju Taman Nasional Tanjung Puting di Kumai, Kalimantan Tengah. Sungai sepanjang 45 kilometer membentang, membelah Taman Nasional Tanjung Puting.",00:00,23:59,5000,-2.7437160275763954,111.92835908456003,5902,Kalimantan Tengah,Kotawaringin Barat,kumai,"Kumai, Kotawaringin Barat, Kalteng, Kumai Hilir , Kumai , KAB. KOTAWARINGIN BARAT",74181,alam,"toilet,tempat sampah",,
Istana Kuning,"istana ini memiliki sebuah ruang yang dinamakan Dalam Kuning. Menurut sejarah, pada masa pemerintahan kesultanan Kutaringin, bahan kayu yang digunakan untuk membuat istana memang bewarna ini. Hampir keseluruhan istana bewarna kuning sehingga istana tersebut dinamakan Istana Kuning.",08:00,16:00,5000,"-2.675689400896451, 111.6330545664349",111.6330545664349,3208,Kalimantan Tengah,Kotawaringin Barat,arut selatan,"Raja, Kec. Arut Sel., Kabupaten Kotawaringin Barat, Kalimantan Tengah 74112",74112,Sejarah,"pusat informasi, area parkir, toilet",,
Bukit Raya,Bukit Raya Taman Nasional merupakan kawasan konservasi yang terletak di perbatasan antara Kalimantan Barat dan Kalimantan Tengah. Daerah ini memiliki peran penting dalam fungsi hidrologis hutan dan Bukit Raya merupakan perwakilan tipe ekosistem hutan hujan tropis pegunungan.,00:00,23:59,5000,-2.06984919980046,111.62536493256721,4982,Kalimantan Tengah,Katingan,bukit raya,"Tumbang Kajamei, Bukit Raya, Kabupaten Katingan, Kalimantan Tengah",-,alam,"area parkir , Tempat Ibadah , toilet , area makanan",,
Taman Wisata Alam Tangkiling,"Daya Tarik wisata Taman Wisata Alam Tangkiling, yaitu ekosistem alam flora dan founa hutan tropis, perbukitan, tanaman herbal/depot obat, kolam buaya, beruang, depot anggrek, panjat tebing, jalan refleksi, tracking hutan, dan pohon yang dilindungi (tengkawang, ulin), dan lebah madu.",00:00,23:59,5000,-1.998669,113.753444,4149,Kalimantan Tengah,Palangkaraya,Bukit Batu,"Jalan Pariwisata RT 05/03 Kelurahan Banturung, Kecamatan Bukit Batu Kota Palangka Raya",73224,alam,"area parkir, toilet, pusat informasi, toko oleh-oleh",,
Jurung Tiga Nature Park,"TWH Jurung Tiga dengan luas areal lebih kurang 40 Hektar memiliki daya pesona luar biasa, Ada beberapa spot lokasi yang telah dilengkapi di lokasi tersebut diantaranya areal outbound, areal camping ground, areal edukasi alam, jembatan kenangan, spot menyumpit, rumah pohon, hutan buah, rakit cinta, area makanan, shelter-shelter (tempat peristirahatan sementara) dan sejumlah spot menarik lainnya yang ‘instagramable’.",08:00,17:00,10000,"-2.773450944575311, 111.65868778282329",111.65868778282329,2339,Kalimantan Tengah,Kotawaringin Barat,kumai,"6MG4+FW2, Batu Belaman, Kec. Kumai, Kabupaten Kotawaringin Barat, Kalimantan Tengah 74181",74181,alam,"area parkir, wahana permainan, tempat sampah, pusat informasi,tempat ibadah",,
Pulau Kaja,"Pulau Kaja berada di aliran Sungai Rungan, Nyaru Menteng, Kelurahan Tumbang Tahai, Kecamatan Bukit Batu, Kota Palangka Raya. Pengelolanya adalah Borneo Orang Utan Survival Foundation (BOSF).",07:00,19:00,0,"-1.9489338388648578, 113.78107191827577",113.78107191827577,3298,Kalimantan Tengah,Palangkaraya,Bukit Batu,"2QW8+64R, Sei Gohong, Kec. Bukit Batu, Kota Palangka Raya, Kalimantan Tengah 73112",73112,alam,"pusat informasi, toilet, area parkir",,
,,,,,,,,,,,,,,,,
Bukit Teletubbies,Bukit Rimpi atau Bukit Teletubbies merupakan sebuah perbukitan yang ditumbuhi oleh padang savana hijau yang berhiaskan oleh hamparan rumput dengan pemandangannya yang indah.,06:00,17:00,10000,"-3.4223609517114837, ",114.53443787916716,2784,Kalimantan Selatan,Tanah Laut,pelaihari,"Tampang, Pelaihari, Kabupaten Tanah Laut, Kalimantan Selatan",70815,Alam,"area makanan, area parkir dan toilet.",,
Air Terjun Bajuin,wisata Air Terjun Bajuin ini Anda dapat menikmati keindahan alam dan sejuknya udara dan suasana disekitar Air Terjun Bajuin ini.,00:00,23:59,10000,"-3.7853024536602793, ",114.85099425416671,3746,Kalimantan Selatan,Tanah Laut,batu ampar,"Damar Lima, Kec. Batu Ampar, Kabupaten Tanah Laut, Kalimantan Selatan",70882,Alam,"Area parkir, area makanan, toilet",,
Pantai Batakan,menuju Pantai Batakan bisa dibilang cukup bagus. Sehingga memudahkan wisatawan yang datang menggunakan jalur darat.,00:00,23:59,5000,"-4.0720199300435835, ",114.65939919062501,4638,Kalimantan Selatan,Tanah Laut,panyipatan,"Jl. Pariwisata, Batakan, Kec. Panyipatan, Kabupaten Tanah Laut, Kalimantan Selatan",70871,Alam,"Area parkir, toilet, Pusat Informasi.",,
Museum WASAKA,"Museum WASAKA merupakan sebuah wisata sejarah berupa benda-benda yang dipajang di museum pada masa perjuangan masayarakat Kalimantan Selatan, Museum ini berada, Jln Adam Kompleks Haji Andir, Kampung Kenanga Ulu RT 14, Kelurahan Sungai Jingah, Kecamatan Banjarmasin Utara, Kota Banjarmasin. asal muasal Wasaka singkatan dari Waja Sampai Ka Puting yang berarti motto perjuangan masyarakat Kalimantan Selatan.",08:30,13:30,0,"-3.3018490632201467, ",114.60950915342883,3254,Kalimantan Selatan,Banjarmasin,banjarmasin utara,"Jl. Kampung Kenanga, Sungai Jingah, Kec. Banjarmasin Utara, Kota Banjarmasin, Kalimantan Selatan",70122,Sejarah,"Area parkir, toilet, area makanan, pusat informasi",,
Kebun Raya Banua,Kebun Raya Banua adalah kebun raya dengan tanaman obat dan konservasi tanaman langka khas Kalimantan.,08:00,18:00,7000,"-3.4628791614711107, ",114.82604496561414,1476,Kalimantan Selatan,BanjarBaru,cempaka,"Jl. Aneka Tambang, Palam, Kecamatan Cempaka, Kota BanjarBaru, Kalimantan Selatan",70732,alam,"Area parkir, toilet, penginapan, Pusat Informasi",,
Taman Hutan Raya Sultan Adam,"Taman hutan kota yang asri dan rindang di Banjarmasin. Di sini, Anda dapat bersantai, berolahraga, atau piknik bersama keluarga",00:00,23:59,0,-3.5192482166615235,114.95083094543926,3891,Kalimantan Selatan,Banjar,karang intan,"Cempaka, Mandi Angin Barat, Kec. Karang Intan, Kabupaten Banjar, Kalimantan Selatan 70661",70661,alam,"Area parkir, toilet, area makanan,wahana permainan, penginapan",,
Amanah Borneo Park,"Kebun binatang dan taman hiburan di Banjarmasin. Di sini, Anda dapat melihat berbagai macam hewan, seperti orangutan, bekantan, dan harimau. Anda juga dapat menikmati wahana permainan yang seru",08:00,17:00,60000,-3.495556121322776,114.80926825515827,6511,Kalimantan Selatan,BanjarBaru,cempaka,"Jl. Taruna Bhakti, RT.12/RW.04, Palam, Kec. Cemp., Kota Banjar Baru, Kalimantan Selatan 70731",70731,alam,"Pusat Informasi, toilet, tempat sampah, wahana permainan",,
