name,description,open_time,close_time,entry_price,latitude,longitude,visit_count,provinces,city,subdistrict,street_name,zip_code,categories,facilities,url_image,url_image_2,url_video,url_video_2
Gunung rinjani,"Gunung Rinjani di Pulau Lombok, Indonesia, adalah gunung berapi aktif setinggi 3.726 meter. Terkenal karena keindahan alamnya, termasuk danau kawah Segara Anak, sumber air panas, dan pemandangan spektakuler. Rinjani menawarkan jalur pendakian menantang yang menarik bagi para pendaki dan pecinta alam.",07:00,15:00,2600000,-8.410275622642068,116.46163997165144,39226,Nusa Tenggara Barat,Lombok timur,Bayan,"Kecamatan Bayan, Kabupaten Lombok Utara, Provinsi Nusa Tenggara Barat, Indonesia.",83354,alam,"penginapan, pusat informasi, toilet umum, tempat sampah",https://upload.wikimedia.org/wikipedia/commons/8/8e/Gunung_rinjani.jpg,https://www.trekkingrinjani.com/mendakigunungrinjani/images/puncak-gunung-rinjani6.jpg,,
Gili Trawangan island,"Gili Trawangan adalah destinasi wisata populer di lepas pantai barat laut Lombok, Indonesia. Sebagai pulau terbesar dari tiga Gili Islands, Gili Trawangan menawarkan pemandangan pantai yang menakjubkan dengan pasir putih dan air laut yang jernih",00:00,23:59,509000,-8.349798014482495,116.03525991445173,60000,Nusa Tenggara Barat,Lombok Utara,Pemenang,"Kabupaten Lombok Utara, Provinsi Nusa Tenggara Barat, Indonesia.",83352,alam,"pusat informasi, penginapan, toilet, wahana permainan",https://upload.wikimedia.org/wikipedia/commons/thumb/d/df/Gili_Islands_%26_Gunung_Rinjiani%2C_Lombok%2C_Indonesia.jpg/1200px-Gili_Islands_%26_Gunung_Rinjiani%2C_Lombok%2C_Indonesia.jpg,https://bali-home-immo.com/images/blogs/73b820c5ebb4d5176fca6f9c9d139ca1.jpeg,,
Air terjun sendang gile dan tiu kilep,"Air Terjun Sendang Gile dan Tiu Kelep menawarkan keindahan alam yang menakjubkan dengan air terjun yang mempesona, air yang jernih, serta hamparan hutan yang hijau. ",07:00,17:00,5000,-8.312551501593424,116.40466869386402,10000,Nusa Tenggara Barat,Lombok Utara,Bayan,"Desa Senaru, Kecamatan Bayan, Kabupaten Lombok Utara, Provinsi Nusa Tenggara Barat",83354,alam,"area parkir, toilet, Pusat Informasi, tempat ibadah",https://www.tokohkita.co/uploads/berita/thumbs/750x400/20190320_ini-yang-bikin-air-terjun-tiu-kelep-diminati-wisman.jpg,https://gerbanglombok.co.id/wp-content/uploads/2018/05/Tiu-Kelep-1.jpg,,
Pantai gili meno,"Pantai Gili Meno menawarkan suasana yang tenang dan damai, sangat cocok untuk wisatawan yang mencari ketenangan dan keindahan alam.",00:00,23:59,0,-8.35795962035995,116.06130286794907,2000,Nusa Tenggara Barat,Lombok Utara,Pemenang,"Pantai Gili Meno, Desa Gili Indah, Kecamatan Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Barat, Indonesia.",83352,alam,"area, parkir, pusat informasi, penginapan, toilet,toko oleh-oleh",https://upload.wikimedia.org/wikipedia/commons/2/24/Gili_Meno_West_Coast.jpg,https://media-cdn.tripadvisor.com/media/photo-s/09/ff/fc/97/gili-meno-beach.jpg,,
Pantai Gili air,"Pantai Gili Air adalah surga tropis yang terletak di pulau Gili Air, salah satu dari tiga pulau kecil yang terletak di sebelah barat laut Lombok, Indonesia.",00:00,23:59,12000,-8.358308660958706,116.08390357267581,2000,Nusa Tenggara Barat,Lombok Utara,Pemenang,"Pantai Gili Air, Desa Gili Indah, Kecamatan Pemenang, Kabupaten Lombok Utara, Nusa Tenggara Barat, Indonesia.",83352,alam,"toko oleh-oleh,pusat informasi, penginapan, toilet, area parkir",https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/2023/05/23/jpg_20230523_172715_0000-2178437463.jpg,https://www.wowkeren.com/display/images/photo/2019/02/15/00244453.jpg,,
Pantai Senggigi,"Pantai Senggigi adalah salah satu destinasi wisata paling populer di Pulau Lombok, Indonesia. Pantai ini menawarkan kombinasi sempurna antara keindahan alam, suasana tenang, dan fasilitas wisata yang lengkap.",00:00,23:59,15000,-8.478616865602719,116.03744073093863,4698,Nusa Tenggara Barat,Lombok Barat,Batu Layar,"Pantai Senggigi, Desa Batu Layar, Kecamatan Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Barat, Indonesia.",83355,alam,"penginapan, tempat sampah, area makanan, toilet, toko oleh-oleh",https://firstlomboktour.com/wp-content/uploads/2018/11/Sumber-foto-IG-oleh-@yoga.dwisgnd.jpg,https://upload.wikimedia.org/wikipedia/commons/a/ad/Senggigi_Beach.jpg,,
pantai seger,Pantai Seger mempesona dengan panorama alam yang menakjubkan. Pantai ini dikelilingi oleh bukit-bukit hijau yang menambah pesona alaminya. Ombak yang tenang dan angin sepoi-sepoi membuat suasana di pantai ini sangat menyenangkan bagi pengunjung.,00:00,23:59,5000,-8.90688531607307,116.29773677433441,6800,Nusa Tenggara Barat,Lombok Tengah,Pujut,"Pantai Seger, Desa Kuta, Kecamatan Pujut, Kabupaten Lombok Tengah, Nusa Tenggara Barat, Indonesia.",83573,alam,"area parkir, area makanan, pusat informasi, toko oleh-oleh",https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/PANTAI_SEGER.jpg/1200px-PANTAI_SEGER.jpg,https://cdn.idntimes.com/content-images/community/2020/01/pantai-seger-1-a9ffb26ceb96f4f2f2d69cea3c6c7b20_600x400.jpg,,
Pulau Moyo,"Pulau Moyo adalah pulau yang belum terjamah sepenuhnya, dengan hutan tropis yang lebat, air terjun yang indah, dan pantai berpasir putih yang menakjubkan.",00:00,23:59,50000,-8.205711307455351,117.52751783919564,1000,Nusa Tenggara Barat,Sumbawa,Denpasar Selatan,"Kabupaten Sumbawa, Provinsi Nusa Tenggara Barat, Indonesia.",84316,alam,"pusat informasi, toilet, toko oleh-oleh",https://ntbprov.go.id/storage/file/1661483110_1603604539.jpg,https://images.bisnis.com/posts/2023/06/23/1668362/1687484408_5066220f-75f6-4ace-8bab-a81f0efc661d-1.jpeg,,
Air terjun tetebatu,Air Terjun Tetebatu memiliki ketinggian sekitar 40 meter dan dikelilingi oleh pepohonan hijau yang rindang.,00:00,23:59,20000,-8.539830260852154,116.42240445895928,2000,Nusa Tenggara Barat,Lombok Timur,Sikur,"ir Terjun Tetebatu, Desa Tetebatu, Kecamatan Sikur, Kabupaten Lombok Timur, Nusa Tenggara Barat, Indonesia.",83662,alam,"pusat informasi, area makanan, toilet, toko oleh-oleh",https://v1.indonesia.travel/content/dam/indtravelrevamp/id-id/ide-liburan/punya-banyak-potensi-ini-5-kegiatan-seru-di-desa-wisata-tetebatu-ntb/air-terjun-sarang-walet.jpg,https://firstlomboktour.com/wp-content/uploads/2019/10/Air-Terjun-Jeruk-Manis-sumber-ig-saiifud_.jpg,,
Pantai Nipah,Pantai Nipah mempesona dengan pemandangan alam yang menakjubkan. Pantai ini dikelilingi oleh bukit-bukit hijau dan pepohonan kelapa yang menambah pesona alaminya.,00:00,23:59,5000,-8.433076337609668,116.04646456927674,4500,Nusa Tenggara Barat,Lombok Barat,Batu Layar,"Pantai Nipah, Desa Batu Layar, Kecamatan Batu Layar, Kabupaten Lombok Barat, Nusa Tenggara Barat, Indonesia.",83352,alam,"penginapan, area makanan, toko oleh-oleh",https://indonesiakaya.com/wp-content/uploads/2020/10/pantai_nipah_1200.jpg,https://indonesiakaya.com/wp-content/uploads/2020/10/Pantai_Nipah_masih_sangat_bersih_dan_alami_dan_membuat_wisatawan_tertarik_berkunjung_ke_sini.jpg,,
Pulau Komodo,"Pulau ini terkenal dengan spesies kadal purba yang langka, Komodo. Di sini, wisatawan dapat melakukan trekking, pusat informasi, dan diving.",08:00 ,17:00,200000,-8.586316747900412,119.44295603205403,1000,Nusa Tenggara Timur,Manggarai,Manggarai Barat,"Pulau Komodo, Komodo, Labuan Bajo, Nusa Tenggara Timur",86763,alam,"Area parkir, toilet, penginapan, toko oleh-oleh",https://asset.kompas.com/crops/eIP2s99xXyYl2dhwW9hDQ6QxisY=/0x0:780x520/750x500/data/photo/2019/09/26/5d8c64544d656.jpg,https://asset.kompas.com/crops/SmzgitIxqJpd1UoBzNoCir2iP6U=/0x0:1000x667/750x500/data/photo/2020/02/06/5e3b8a7412b24.jpg,,
Danau Kelimutu,Danau vulkanik dengan air yang berubah warna-warni tergantung pada musim. Pemandangan matahari terbit di sini sangat populer.,05:00,17:00,25000,-8.765177840029656,121.82081857718961,1500,Nusa Tenggara Timur,Ende,Kelimutu,"Desa Pemo, Kecamatan Kelimutu, Kabupaten Ende",86318,alam,"Area parkir, area makanan, toilet",https://asset.kompas.com/crops/7BAA_ly7b-MmcoKLamKOPBypZx8=/53x0:676x415/750x500/data/photo/2020/05/18/5ec278e912802.jpg,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/998/2024/02/22/Pariwisata-Indonesia-Danau-Kelimutu-NTT-1746426234.jpg,,
taman nasional kepulauan alor,aman nasional yang mencakup beberapa pulau kecil dengan keindahan bawah laut yang memikat.,00:00,23:59,50000,-8.273905642572682,124.85643808408875,3993,Nusa Tenggara Timur,Alor,Alor Timur Laut,"Pido, Kec. Alor Tim. Laut, Kabupaten Alor, Nusa Tenggara Tim.",85875,alam,"penginapan, toko oleh-oleh, area pusat informasi, area parkir, toilet",https://asset.kompas.com/crops/hF1c-ljbXNc2QysdctspUcAfFvA=/0x0:780x390/750x500/data/photo/2014/01/27/1459386alor-11780x390.jpg,https://cdn.idntimes.com/content-images/post/20170731/alor2-b7a806f5fa3678010666c2fe9ecde003.jpg,,
Desa Adat Wae Rebo,"Desa tradisional dengan rumah adat yang unik, dikelilingi oleh pegunungan hijau.",00:00,23:59,20000,-8.768922338329329,120.28502851345408,2000,Nusa Tenggara Timur,Manggarai Barat,Satar Mese,"Kampung Satar Lenda, Kecamatan Satar Mese, Kabupaten Manggarai Barat, Flores, Nusa Tenggara Timur",86561,alam,"Penginapan, toilet, pusat informasi, toko oleh-oleh",https://www.masterplandesa.com/wp-content/uploads/2019/05/Rumah-Adat-Desa-Wae-Rebo-a.png,https://phinemo.com/wp-content/uploads/2016/12/wae-rebo.jpg,,
Pulau Rote,"Pulau dengan pantai berpasir putih yang indah, populer untuk surfing dan pusat informasi.",00:00,23:59,3000,-10.732925991717261,123.07889732131586,4000,Nusa Tenggara Timur,Rote Ndao ,Rote Barat Laut,"Pulau Rote, Rote Barat Daya, Rote Ndao, Nusa Tenggara Timur",85981,alam,"Penginapan, area makanan, pusat informasi, toilet",https://tempatwisataseru.com/wp-content/uploads/2020/09/Wisata-Pantai-Boa-via-IG-@aliviaalfiarty.jpg,https://indonesiakaya.com/wp-content/uploads/2020/10/Pantai_Oeseli_cenderung_lebih_tenang_dibandingkan_dengan_Nembrala_dan_Boa_sehingga_sangat_cocok_digunakan_untuk_berenang.jpg,,
Pulau Sawu,"Pulau kecil yang tenang dengan pantai yang indah, ideal untuk bersantai dan menikmati alam.",00:00,23:59,0,-10.50877222861996,121.87940224593953,521,Nusa Tenggara Timur,Sabu Raijua,Sabu Tengah,"Pulau Savu, Timur Tengah Utara, Sabu Raijua, Nusa Tenggara Timur",86463,alam,"Penginapan, area makanan, toko oleh-oleh, toilet, area parkir",https://t-2.tstatic.net/tribunnewswiki/foto/bank/images/Pulau-Sabu-Pulau-Sawu.jpg,https://wisato.id/wp-content/uploads/2020/03/Grand-Canyon-Kelabba-Maja.jpg,,
Air Terjun Cunca Wulang,Air terjun spektakuler yang tersembunyi di dalam hutan tropis. Terkenal dengan airnya yang jernih dan kolam renang alaminya yang menyegarkan.,06:00,17:00,20000,-8.544978683140378,119.99506056318546,3000,Nusa Tenggara Timur,Manggarai Barat,Boleng,"Pota Wangka, Kec. Boleng, Kabupaten Manggarai Barat, Nusa Tenggara Tim.",86757,alam,"Area parkir, area makanan, pusat informasi, toilet",https://asset.kompas.com/crops/H8-xVr0ezWuKpjdDWj82ISfj3G4=/0x0:1200x800/750x500/data/photo/2020/08/29/5f4a001b10f83.jpg,https://www.tajukflores.com/assets/img/b5811d44b3251a00c40a2cdde628dad9.jpg,,
Pulau Sumba,"Pulau dengan pantai yang luas, budaya yang kaya, dan pemandangan alam yang menakjubkan. Populer untuk surfing, pusat informasi, dan trekking",00:00,23:59,0,-9.699134459546647,120.03832549360534,8000,Nusa Tenggara Timur,Sumba Barat Daya,Sumba Barat Daya,"Pulau Sumba, Sumba Barat Daya, Southwest Sumba, Nusa Tenggara Timur",87119,alam,"Penginapan, area makanan, toko oleh-oleh, pusat informasi",https://asset.kompas.com/crops/P_VNv1i6RSRBP4EUYYBood9eU7M=/0x0:750x500/750x500/data/photo/2022/03/06/6224995c36727.jpg,https://static.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/597/2024/02/19/IMG_20240219_095534-3031187462.jpg,,
Pantai Pink,Pantai berpasir merah unik yang menjadi ikonik karena warna pasirnya yang langka.,07:00,18:00,10000,-8.550791644740164,119.71992754941539,8000,Nusa Tenggara Timur,Lombok Timur,Jerowaru,"Sekaroh, Jerowaru, Kabupaten Lombok Timur, Nusa Tenggara Bar. 83672",83126,alam,"Area parkir, area makanan, toilet, pusat informasi",https://cdns.klimg.com/merdeka.com/i/w/news/2020/09/11/1219274/540x270/5-pantai-pink-di-indonesia-sudah-pernah-kunjungi-semuanya.jpg,https://asset-2.tstatic.net/makassar/foto/bank/images/pantai-pink_20160323_213858.jpg,,
Bukit Wairinding,"Bukit Wairinding terkenal dengan pemandangan savana yang luas dan indah. Saat musim penghujan, bukit ini ditutupi oleh rumput hijau yang segar, sementara saat musim kemarau, pemandangan berubah menjadi padang rumput cokelat yang eksotis",00:00,23:59,10000,-9.679421206361013,120.10208874051571,36500,Nusa Tenggara Timur,Sumba Timur,Pandawai,"Makamenggit, Nggaha Oriangu, Kabupaten Sumba Timur, Nusa Tenggara Tim.",87111,alam,"Area parkir, area makanan, toko oleh-oleh",https://indonesiakaya.com/wp-content/uploads/2020/10/Salah_satu_sisi_Bukit_Wairinding_ketika_sedang_berwarna_hijau.jpg,https://asset.kompas.com/crops/w_XiGN6zfuKzJe1foFbLdYc7B78=/0x0:0x0/750x500/data/photo/2021/06/15/60c8745e0c319.jpg,,
Taman Nasional Danau Sentarum,Taman Nasional Danau Sentarum adalah kawasan konservasi yang terdiri dari danau musiman yang menjadi habitat bagi berbagai jenis flora dan fauna endemik.,08:00,16:30,25000,0.8333421387646698,112.18380129883008,100,Kalimantan Barat,Kapuas Hulu,Nanga kantuk,"Nanga Leboyan, Danau Sentarum, Kabupaten Kapuas Hulu, Kalimantan Barat 78765",78765,alam,"toko oleh-oleh, penginapan, toilet",https://upload.wikimedia.org/wikipedia/commons/4/43/Lahan_basah_Taman_Nasional_Danau_Sentarum%2C_Kalimantan_Barat.jpg,https://cdn.antaranews.com/cache/1200x800/2022/09/12/IMG_20220912_134928.jpg,,
Pantai Kijing,Pantai dengan pasir putih yang indah dan air laut yang jernih. Tempat yang sempurna untuk berenang dan bersantai.,00:00,23:59,10000,0.5078778187907976,108.91465235545347,7330,Kalimantan Barat,Mempawah,Sungai Kunyit,"Desa, Sungai Kunyit Laut, Sungai Kunyit, Kab. Mempawah, Kalimantan Barat 78371",78371,alam,"Area parkir, area makanan, toilet",https://www.pantainesia.com/wp-content/uploads/2018/08/pantai-kijing-1248x703.jpg,https://medgo.id/wp-content/uploads/2023/09/4410ABFA-D9F2-4AA5-BC5E-991942127B9A.jpeg,,
Taman Nasional Gunung Palung,Taman nasional dengan hutan hujan tropis yang kaya akan biodiversitas. Populer untuk trekking dan penelitian flora dan fauna.,07:30,16:30,1000,-0.8187577583622941,110.13156937001713,3500,Kalimantan Barat,Ketapang,deltapawan,"Kalinilam, Deltapawan, Jl. Gajah Mada, Kabupaten Ketapang, Kalimantan Barat 78857",78857,alam,"Area parkir, toilet, Pusat Informasi.",https://upload.wikimedia.org/wikipedia/commons/8/8e/Gunung_Palung_Jungle.jpg,https://utiket.com/images/touristplaces/taman-nasional-gunung-palung.jpg,,
Bukit Kelam,"Bukit batu granit yang megah, salah satu yang terbesar di dunia. Tempat yang cocok untuk hiking dan menikmati pemandangan dari puncak.",07:00,17:00,0,0.08079488250917385,111.67496858142205,8779,Kalimantan Barat,Sintang,kelam permai,"Merpak, Kec. Kelam Permai, Kabupaten Sintang, Kalimantan Barat",78115,alam,"Area parkir, toilet, area makanan, pusat informasu",https://upload.wikimedia.org/wikipedia/commons/9/93/Bukit_Kelam_Sintang.jpg,https://salsawisata.com/wp-content/uploads/2023/07/bukit-kelam-sintang-kalimantan-barat.jpg,,
Taman Nasional Betang Karihun,"Bentang Karihun adalah kawasan hutan tropis yang indah di Taman Nasional Betung Kerihun. Tempat ini dikenal dengan pemandangan alam yang spektakuler, keanekaragaman hayati yang kaya, dan merupakan salah satu destinasi favorit bagi para pencinta alam dan petualang.",08:00,16:00,1000,1.2017867105779274,113.18888812709157,7570,Kalimantan Barat,Kapuas Hulu,putussibau utara,"Jl. Piere Tendean, Sibau Hulu, Kec. Putussibau Utara, Kabupaten Kapuas Hulu, Kalimantan Barat 78716",78716,alam,"Area parkir, toilet, penginapan, Pusat Informasi",https://img-z.okeinfo.net/library/images/2018/08/06/sj74jrqlz99lszxuiya7_21182.jpg,https://media.suara.com/pictures/970x544/2020/05/08/61763-taman-nasional-betung-kerihun.jpg,,
Pantai Tanjung Bajau,"Pantai Tanjung Bajau adalah salah satu destinasi wisata pantai yang populer di Kalimantan Barat. Pantai ini menawarkan pemandangan laut yang indah, pasir putih yang lembut, dan air laut yang jernih.",00:00,23:59,35000,0.8590786677271923,108.89214521101547,109500,Kalimantan Barat,Singkawang,Singkawang Selatan,"VV5R+HMP, Sedau, Kec. Singkawang Sel., Kota Singkawang, Kalimantan Barat 79163",79163,alam,"Area parkir, toilet, area makanan,wahana permainan, penginapan",https://www.gotravelaindonesia.com/wp-content/uploads/tanjung-bajau-singkawang.jpg,https://www.pontianak.web.id/wp-content/uploads/permainan-tanjung-bajau-min.jpg,,
Air terjun Pancur Aji,Air Terjun Pancur Aji adalah air terjun yang terletak di hutan tropis yang lebat. Tempat ini menawarkan pemandangan alam yang memukau dengan air terjun yang tinggi dan kolam alami yang jernih.,09:00,18:00,5000,0.10060461736046256,110.56943380529106,64750,Kalimantan Barat,Sanggau,kapuas,"3HX8+WXW, Jl. Sanggau Permai, Beringin, Kec. Kapuas, Kabupaten Sanggau, Kalimantan Barat 78516",78516,alam,"Area parkir, toilet, area makanan,Penginapan",https://ruko.s3.ap-southeast-1.amazonaws.com/rumahkomunitas.com/tulisan/190620094848_aji_3.jpg,https://disporapar.sanggau.go.id/wp-content/uploads/2017/06/air-terjun-pancur-aji-kalimantan-barat.jpg,,
Hutan Wisata Baning,Hutan Wisata Baning adalah hutan kota yang terletak di pusat Kota Sintang. Hutan ini menawarkan pemandangan hutan tropis yang masih alami dengan jalur-jalur pejalan kaki yang terawat.,07:00,17:00,10000,0.07130509075842863,111.50903639199689,36500,Kalimantan Barat,Sintang,sintang,"3GC5+FGR, Sungai Ana, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat 78614",78614,alam,"Area parkir, toilet, Pusat Informasi",https://indotimnet.files.wordpress.com/2009/10/baning2-peremuancom.jpg,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEhAzs_Ebz7WVPDsYXDtGn_puoPerIKxUA8nqHJDvtXilwzu9dbh-bxkPQaOF10412Ri6-gKpQ82Msjo3RMDsW27DQLZy01Nkvzy2G0NOdTO3URwBbf18gixQ0oKzSDfdoxkmsD1a_OAlFZCfxY6LhrrQ25biHq5ay4YVEhLdHPoT-cPwmYlvVOcXDbdHA/s674/Hutan-Wisata-Baning-SIntang-jembatan-di-hutan.jpg,,
Air Terjun Banangar,"Air Terjun Bananggar, atau Air Terjun Mananggar, adalah sebuah patahan dari Sungai Landak sehingga terbentuk sebuah air terjun. Memiliki ketinggian 60 meter dan lebar 60 meter. Terdapat kolam alami yang besar persis di bawah air terjun.",00:00,23:59,5000,0.854007857322957,110.15881068776764,6500,Kalimantan Barat,Landak,air besar,"V535+H7C, Merayuh, Kec. Air Besar, Kabupaten Landak, Kalimantan Barat 79365",79365,alam,"Area parkir, toilet, area makanan, Penginapan",https://www.gotravelly.com/assets/img/review/gallery/562/79448c55dfa0adc5d1ca10db0bdbad0c.jpg,https://assets.promediateknologi.id/crop/0x0:0x0/750x500/webp/photo/p1/379/2023/10/06/Ilustrasi-Air-Terjun-Manangar-803964869.png,,
